,name,commercial_area_code,pop_type,total_pop
43,포이사거리(삼호물산),3120184,WORKING,80236.0
44,삼성중앙역,3120213,WORKING,76755.0
45,선정릉역,3120207,WORKING,76747.0
46,이태원(이태원역),3120046,WORKING,76623.0
47,화곡역 4번,3110659,RESIDENT,72304.0
48,방이동먹자골목,3120229,WORKING,70876.0
49,청담사거리(청담동명품거리),3120208,WORKING,70092.0
50,학동역,3120191,WORKING,69491.0
51,신사역,3120178,WORKING,69040.0
52,서초역,3120169,WORKING,68983.0
53,강남구청역,3120203,WORKING,67654.0
54,수서역,3120224,WORKING,67097.0
55,삼호가든사거리,3120170,WORKING,66579.0
56,구역삼세무서,3120198,WORKING,66271.0
57,공덕역(공덕오거리),3120107,WORKING,65518.0
58,서울시청,3120023,WORKING,65192.0
59,학동사거리,3120200,WORKING,64039.0
60,교대입구교차로,3120172,WORKING,60800.0
61,강남을지병원,3120190,WORKING,58518.0
62,성수역,3120052,WORKING,58490.0
63,논현역,3120185,WORKING,58125.0
64,몽촌토성역,3120233,WORKING,57916.0
65,명동역(명동재미로),3120027,WORKING,57841.0
66,을지로2가,3120029,WORKING,57518.0
67,"평화시장(통일상가, 동화상가)",3130038,WORKING,57222.0
68,도곡1동,3120201,WORKING,55975.0
69,을지로3가역,3120031,WORKING,55015.0
70,성수초등학교,3110137,WORKING,54756.0
71,구로역,3120125,WORKING,53774.0
72,압구정로데오역(압구정로데오),3120202,WORKING,53229.0
73,압구정역,3120188,WORKING,53217.0
74,DMC(디지털미디어시티),3120098,WORKING,53145.0
75,보라매공원,3120151,WORKING,52859.0
76,양재천카페거리,3120183,WORKING,52166.0
77,서래마을카페거리(서래마을),3120165,WORKING,51553.0
78,휘문고교사거리,3120223,WORKING,50479.0
79,내방역,3120164,WORKING,50261.0
80,언주역(차병원),3120194,WORKING,49388.0
81,용산전자상가(용산역),3120040,WORKING,48793.0
82,마포역,3120106,WORKING,48667.0
83,까치산역 4번,3110654,RESIDENT,48508.0
84,망리단길,3110544,RESIDENT,47116.0
85,까치산역 1번,3110662,RESIDENT,46540.0
86,관악구 중앙길,3110892,RESIDENT,46160.0
87,충무로역,3120032,WORKING,45898.0
88,"신림역 5번(신림동주민센터, 신림동별빛거리)",3110869,RESIDENT,45780.0
89,잠실새내역(신천),3120225,WORKING,44851.0
90,인사동,3120008,WORKING,44630.0
91,잠실 관광특구,3001495,RESIDENT,44576.0
92,선유도역 1번,3110762,RESIDENT,44540.0
93,서초3동사거리,3120171,WORKING,44152.0
94,응암역 3번,3110468,RESIDENT,43800.0
95,길동주민센터(강동도서관),3111077,RESIDENT,43688.0
96,구립대학경로당(관악산샘말공원),3110881,RESIDENT,43480.0
97,경찰병원역,3120237,WORKING,43318.0
98,북촌(안국역),3120007,WORKING,42961.0
99,가로수길,3120186,WORKING,42087.0
100,목동신시가지,3120114,RESIDENT,41960.0
101,장안1동주민센터,3110226,RESIDENT,41580.0
102,방배역,3120166,WORKING,41380.0
103,삼전역 4번,3111003,RESIDENT,41128.0
104,대치역,3120220,WORKING,40880.0
105,강동역 4번(강풀만화거리),3111059,RESIDENT,40828.0
106,까치산역 3번,3110656,RESIDENT,39992.0
107,서울대입구역,3120159,RESIDENT,39584.0
108,"양재시민의숲역(양재동꽃시장, aT센터)",3120182,WORKING,39257.0
109,석촌역 3번,3111015,RESIDENT,39176.0
110,신도림역,3120128,WORKING,38762.0
111,도산공원교차로,3120193,WORKING,38470.0
112,가락시장역,3120234,WORKING,38038.0
113,경찰청앞교차로,3120019,WORKING,37933.0
114,한남오거리,3120047,WORKING,37857.0
115,신창초등학교,3110404,RESIDENT,37812.0
116,후암동주민센터,3110079,RESIDENT,37740.0
117,사당역 4번,3110902,RESIDENT,37624.0
118,삼전역 1번,3111004,RESIDENT,37304.0
119,신림역(신림),3120157,RESIDENT,37276.0
120,은마아파트,3120219,WORKING,37190.0
121,면목역 2번,3110264,RESIDENT,37148.0
122,신정2동주민센터,3110625,WORKING,37147.0
123,암사역 2번(서울강동초등학교),3111060,RESIDENT,37132.0
124,청구역 3번,3110054,WORKING,37063.0
125,방이역 4번,3111021,RESIDENT,36888.0
126,성수대교남단,3120195,WORKING,36674.0
127,강동구립성내도서관,3111067,RESIDENT,36364.0
128,상도역 5번,3110836,RESIDENT,36272.0
129,문정동 로데오거리 상점가(문정동 로데오거리),3130315,WORKING,35664.0
130,굽은다리역 4번,3111078,RESIDENT,35304.0
131,석촌역 7번,3111010,RESIDENT,35228.0
132,암사역 1번,3111061,RESIDENT,34952.0
133,신대방삼거리역 1번,3110825,RESIDENT,34888.0
134,신월2동주민센터,3110608,RESIDENT,34816.0
135,강동구청역,3120242,WORKING,34388.0
136,남성역 1번,3110846,RESIDENT,34192.0
137,석촌역(석촌호수),3120228,WORKING,34141.0
138,구산역 1번,3110473,RESIDENT,33968.0
139,푸른들청소년도서관,3110646,RESIDENT,33948.0
140,화곡2동주민센터,3110668,RESIDENT,33948.0
141,구의역 4번,3110159,RESIDENT,33900.0
142,화곡역 5번,3110647,RESIDENT,33796.0
143,샤로수길,3110895,RESIDENT,33740.0
144,약수역,3120038,WORKING,33673.0
145,경성고등학교,3110558,RESIDENT,33276.0
146,사당역 10번,3110850,RESIDENT,32964.0
147,63빌딩,3120150,WORKING,32869.0
148,석촌고분역 1번,3111006,RESIDENT,32860.0
149,염곡동 구룡사(포이동성당),3110942,RESIDENT,32812.0
150,한성백제역 3번,3111019,RESIDENT,32496.0
151,"강남구청(청담역_8번, 강남세무서)",3120209,WORKING,32436.0
152,남강고등학교(남강중학교),3110865,RESIDENT,32424.0
153,서울세관,3120196,WORKING,32303.0
154,송파나루역 1번(송리단길),3111013,RESIDENT,32248.0
155,중부경찰서(영화인의거리),3120030,WORKING,32157.0
156,독산동,3120132,RESIDENT,32064.0
157,"총신대입구역(이수, 총신대)",3120156,WORKING,32003.0
158,목동보건지소,3110620,RESIDENT,31956.0
159,삼전역 3번,3111005,RESIDENT,31568.0
160,한티역,3120212,WORKING,31465.0
161,장한평역(장한평),3120066,WORKING,31415.0
162,석촌고분역 4번,3111007,RESIDENT,31404.0
163,상계5동주민센터,3110428,RESIDENT,31384.0
164,역촌역 3번,3110484,RESIDENT,31380.0
165,신사1동주민센터,3110453,RESIDENT,31008.0
166,구산보건지소,3110456,RESIDENT,30992.0
167,송정역 3번,3110634,RESIDENT,30964.0
168,강서구청,3120122,RESIDENT,30880.0
169,마천역(마천초등학교),3111046,RESIDENT,30860.0
170,신묵초등학교,3110236,RESIDENT,30652.0
171,장지역(가든파이브),3120236,WORKING,30621.0
172,독산동,3120132,WORKING,30567.0
173,신정역 5번,3110612,RESIDENT,30352.0
174,면목2동체육관,3110256,RESIDENT,30236.0
175,창2동주민센터,3110399,RESIDENT,30160.0
176,독산동성당,3110744,RESIDENT,30156.0
177,삼육보건대학교,3110219,RESIDENT,30144.0
178,오금역,3120239,WORKING,29988.0
179,시립서북병원,3110450,RESIDENT,29968.0
180,수송초등학교,3110376,RESIDENT,29864.0
181,천호역 6번,3111051,RESIDENT,29852.0
182,등촌1동주민센터,3110671,RESIDENT,29632.0
183,영동대교남단교차로,3120214,WORKING,29582.0
184,배문고등학교,3110067,RESIDENT,29544.0
185,신용산역(용산역),3120041,RESIDENT,29540.0
186,뱅뱅사거리,3120192,RESIDENT,29196.0
187,개나리아파트,3120206,WORKING,29186.0
188,홍대입구역(홍대),3120103,WORKING,29163.0
189,당산2동(영등포우체국),3120138,WORKING,29105.0
190,역촌노인복지관,3110455,RESIDENT,28912.0
191,노원역,3120081,WORKING,28773.0
192,화곡4동주민센터,3110675,RESIDENT,28592.0
193,도곡초등학교,3110992,RESIDENT,28364.0
194,장평중학교,3110229,RESIDENT,28216.0
195,우장산역 4번,3110645,RESIDENT,28200.0
196,면목역 1번,3110263,RESIDENT,28008.0
197,도봉산입구,3110397,RESIDENT,27968.0
198,신곡초등학교,3110670,RESIDENT,27888.0
199,영등포구청역,3120136,WORKING,27754.0
200,굽은다리역 1번(십자성마을),3111072,RESIDENT,27720.0
201,관악구신사동주민센터,3110861,RESIDENT,27688.0
202,신한은행 신월동지점,3110606,RESIDENT,27052.0
203,문정초등학교,3111027,WORKING,27038.0
204,성원중학교,3110128,RESIDENT,26852.0
205,둔촌동역 1번(한산중학교),3111073,RESIDENT,26848.0
206,대청초등학교,3110997,RESIDENT,26824.0
207,시흥동 은행나무사거리,3110753,RESIDENT,26812.0
208,송파나루역 1번(송리단길),3111013,WORKING,26792.0
209,구로보건소,3110713,RESIDENT,26776.0
210,구역삼세무서,3120198,RESIDENT,26772.0
211,장안동사거리,3120067,RESIDENT,26532.0
212,연남동(홍대),3120104,RESIDENT,26408.0
213,용마초등학교,3110167,RESIDENT,26348.0
214,오거리공원,3110254,RESIDENT,26316.0
215,방배동카페골목,3120162,WORKING,26305.0
216,세곡초등학교,3110694,RESIDENT,26288.0
217,응암정보도서관,3110469,RESIDENT,26200.0
218,상봉역,3120069,RESIDENT,26168.0
219,뚝섬역,3120051,WORKING,26059.0
220,군자역,3120055,RESIDENT,26024.0
221,서경대학교,3110294,RESIDENT,25984.0
222,낙성대역 1번(관악구민 종합체육센터),3110900,RESIDENT,25852.0
223,신월4동주민센터,3110604,RESIDENT,25808.0
224,길동역,3120246,RESIDENT,25760.0
225,방학중학교,3110394,RESIDENT,25656.0
226,화양사거리,3110142,RESIDENT,25536.0
227,방학역 1번,3110405,RESIDENT,25472.0
228,경기고교사거리(경기고교앞사거리),3120216,WORKING,25320.0
229,남구로역 2번,3110717,RESIDENT,25132.0
230,개웅초등학교(개웅중학교),3110698,RESIDENT,25048.0
231,강남역,3120189,RESIDENT,24992.0
232,선정릉역,3120207,RESIDENT,24968.0
233,경동고등학교,3110297,RESIDENT,24940.0
234,서일대학교,3110274,RESIDENT,24856.0
235,중곡3동주민센터,3110158,RESIDENT,24804.0
236,논현초등학교,3110955,RESIDENT,24688.0
237,연희초등학교,3110511,RESIDENT,24604.0
238,신월1동우편취급국,3110601,RESIDENT,24500.0
239,발산역(마곡),3120119,WORKING,24286.0
240,강동구립 천호도서관,3111063,RESIDENT,24276.0
241,수유시장옆,3110359,RESIDENT,24260.0
242,양재역 8번(양재동우체국),3110939,WORKING,24249.0
243,중화역 1번,3110249,RESIDENT,24232.0
244,동대부여고,3110170,RESIDENT,24200.0
245,종로4가,3120011,WORKING,24124.0
246,능동우편취급국,3110147,RESIDENT,24048.0
247,우사단길,3110093,WORKING,24018.0
248,양화초등학교,3110626,RESIDENT,23892.0
249,군자역 5번,3110156,RESIDENT,23884.0
250,한울중학교,3110752,RESIDENT,23884.0
251,구반포역,3110908,WORKING,23874.0
252,수유역,3120076,RESIDENT,23836.0
253,강서고등학교,3110618,RESIDENT,23804.0
254,명지대학교,3110507,RESIDENT,23752.0
255,영등포역(영등포),3120145,RESIDENT,23740.0
256,신설동역,3120062,WORKING,23628.0
257,화원중학교,3110651,RESIDENT,23560.0
258,오류동역,3120123,RESIDENT,23552.0
259,시청역_1번,3120020,WORKING,23495.0
260,암사역 3번(천호동자전거거리),3111052,RESIDENT,23312.0
261,신방화역 2번,3110638,RESIDENT,23300.0
262,방이역 4번,3111021,WORKING,23292.0
263,신월3동주민센터,3110593,RESIDENT,23268.0
264,상봉역 4번,3110255,RESIDENT,23220.0
265,구의1동주민센터,3110166,RESIDENT,23216.0
266,보라매역 2번,3110821,RESIDENT,23176.0
267,도봉역 2번,3110407,RESIDENT,23132.0
268,마포구청역 1번,3110545,RESIDENT,23112.0
269,신월1동주민센터,3110597,RESIDENT,23068.0
270,역삼역,3120197,RESIDENT,23056.0
271,양재역 8번(양재동우체국),3110939,RESIDENT,23052.0
272,종로구청,3120004,WORKING,22921.0
273,연가초등학교,3110499,RESIDENT,22740.0
274,해오름공원,3110176,RESIDENT,22708.0
275,북가좌2동주민센터,3110495,RESIDENT,22696.0
276,공항시장역 1번,3110630,RESIDENT,22636.0
277,노량진역 6번,3110828,RESIDENT,22624.0
278,선정중학교,3110454,RESIDENT,22564.0
279,먹골역 1번,3110247,RESIDENT,22540.0
280,경복아파트교차로,3120199,WORKING,22391.0
281,영락고등학교,3110885,RESIDENT,22272.0
282,포이사거리(삼호물산),3120184,RESIDENT,22196.0
283,장한평역(장한평),3120066,RESIDENT,22172.0
284,종로5가역,3120014,WORKING,22137.0
285,가산디지털단지,3120131,RESIDENT,22132.0
286,석촌역 6번,3111012,RESIDENT,22124.0
287,대치사거리,3120217,WORKING,22110.0
288,오목교역,3120113,WORKING,22099.0
289,연남동(홍대),3120104,WORKING,22088.0
290,서울남부지방법원,3120109,WORKING,22084.0
291,중곡1동 마을마당,3110150,RESIDENT,22004.0
292,암사동성당(효정하나플러스아파트),3111066,RESIDENT,21984.0
293,구로구청,3120127,RESIDENT,21932.0
294,합정역 8번,3110550,RESIDENT,21916.0
295,삼선중학교,3110293,WORKING,21908.0
296,신정롯데캐슬아파트,3110627,WORKING,21870.0
297,용산구청,3110082,WORKING,21830.0
298,연희동,3120093,WORKING,21819.0
299,방학1동주민센터,3110403,RESIDENT,21800.0
300,양재화물트럭터미널앞,3120180,WORKING,21755.0
301,양재역,3120179,RESIDENT,21752.0
302,잠실역,3120227,RESIDENT,21628.0
303,구산역 4번,3110460,RESIDENT,21596.0
304,구의역,3120056,WORKING,21592.0
305,교육개발원입구사거리,3120181,WORKING,21590.0
306,삼익패션타운(남대문시장),3130025,WORKING,21552.0
307,자양동우체국,3110157,RESIDENT,21516.0
308,강남개포시장,3130310,WORKING,21417.0
309,면동초등학교,3110258,RESIDENT,21408.0
310,합정역,3120101,RESIDENT,21392.0
311,송중초등학교,3110374,RESIDENT,21236.0
312,난곡중학교,3110751,RESIDENT,21196.0
313,방배동가구거리(사당동가구거리),3120161,WORKING,21192.0
314,신성초등학교,3110882,RESIDENT,21176.0
315,북한산보국문역 2번,3110289,RESIDENT,21080.0
316,메디힐병원,3110595,RESIDENT,21068.0
317,거여역 1번(거여공원),3111042,RESIDENT,21044.0
318,교대역(법원.검찰청),3120173,RESIDENT,21024.0
319,등촌역,3120112,RESIDENT,20992.0
320,우이천 계성교,3110362,RESIDENT,20968.0
321,문정역 2번,3111026,WORKING,20944.0
322,문정초등학교,3111027,RESIDENT,20924.0
323,광장시장(광장전통시장),3130007,WORKING,20924.0
324,연신내역 4번,3110472,RESIDENT,20888.0
325,개봉1동주민센터,3110695,RESIDENT,20828.0
326,곰달래도서관,3110665,RESIDENT,20584.0
327,문정역 1번,3111023,WORKING,20533.0
328,신논현역,3120187,RESIDENT,20532.0
329,숙대입구,3110069,RESIDENT,20492.0
330,금천해태공원,3110740,RESIDENT,20480.0
331,성수119안전센터,3110134,RESIDENT,20468.0
332,건대입구역 6번,3110140,RESIDENT,20420.0
333,방이시장,3130313,RESIDENT,20284.0
334,서울대입구역,3120159,WORKING,20272.0
335,면목동우체국,3110266,RESIDENT,20216.0
336,보라매공원,3120151,RESIDENT,20148.0
337,상봉역 3번,3110262,RESIDENT,20144.0
338,서교동(홍대),3120102,WORKING,20130.0
339,명지대학교교회,3110503,RESIDENT,20076.0
340,가락시장,3120231,WORKING,20050.0
341,수락산역 4번,3110415,RESIDENT,20032.0
342,정릉우체국,3110295,RESIDENT,20024.0
343,봉은사역 4번,3110995,WORKING,20022.0
344,서울대입구역 8번,3110897,RESIDENT,19976.0
345,몽촌토성역,3120233,RESIDENT,19964.0
346,중구청(퇴계로4가),3120034,WORKING,19892.0
347,신대방역 4번,3110819,RESIDENT,19868.0
348,장안근린공원,3110228,RESIDENT,19864.0
349,중랑역 1번,3110233,RESIDENT,19844.0
350,남구로역 3번,3110710,RESIDENT,19840.0
351,선일여고,3110458,RESIDENT,19820.0
352,말미고개,3110735,RESIDENT,19808.0
353,증산역 4번,3110451,RESIDENT,19780.0
354,자양4동주민센터,3110139,RESIDENT,19760.0
355,녹번동근린공원,3110490,RESIDENT,19716.0
356,동대문역 1번,3110029,RESIDENT,19712.0
357,오동나무공원(송파레미니스1단지),3111034,RESIDENT,19704.0
358,어린이대공원역,3120054,RESIDENT,19680.0
359,영일시장,3130245,WORKING,19653.0
360,강서구청,3120122,WORKING,19617.0
361,신대방삼거리역 4번(대림초등학교),3110822,RESIDENT,19596.0
362,신림우방아파트,3110864,RESIDENT,19536.0
363,경문고등학교(동작동성당),3110851,RESIDENT,19528.0
364,서울역 12번,3110074,WORKING,19467.0
365,삼성산자연공원(서울금천초등학교),3110754,RESIDENT,19388.0
366,쌍문초등학교,3110387,RESIDENT,19352.0
367,마포구청역 7번,3110542,RESIDENT,19324.0
368,영등포역(영등포),3120145,WORKING,19306.0
369,푸른동산공원,3110175,RESIDENT,19188.0
370,인헌고등학교(인헌중학교),3110901,RESIDENT,19112.0
371,선유도역 6번,3110760,WORKING,19107.0
372,공군호텔,3110815,RESIDENT,19052.0
373,공릉동 국수거리,3110429,WORKING,19052.0
374,경수초등학교,3110136,WORKING,18987.0
375,천호1동주민센터,3111069,RESIDENT,18980.0
376,개봉역,3110703,WORKING,18944.0
377,노량진역(노량진),3120153,WORKING,18927.0
378,홍제역 2번,3110527,RESIDENT,18888.0
379,선릉역,3120210,RESIDENT,18872.0
380,증산역 3번,3110449,RESIDENT,18780.0
381,서대문역,3120001,WORKING,18772.0
382,은천초등학교(은천교앞),3110883,RESIDENT,18676.0
383,사가정역 4번,3110261,RESIDENT,18664.0
384,성수동카페거리,3110131,WORKING,18662.0
385,논현역 4번,3120176,RESIDENT,18652.0
386,신대방역 2번,3110855,RESIDENT,18460.0
387,남구로역 5번,3110712,RESIDENT,18452.0
388,당곡중학교,3110873,RESIDENT,18444.0
389,중곡역 3번,3110161,RESIDENT,18436.0
390,응암역 2번,3110459,RESIDENT,18416.0
391,화곡역 2번,3110653,RESIDENT,18388.0
392,미성동주민센터,3110857,RESIDENT,18368.0
393,양지어린이공원,3110848,RESIDENT,18340.0
394,성내천어린이공원(하니사랑길),3111053,RESIDENT,18316.0
395,독산119안전센터,3110736,RESIDENT,18300.0
396,남부터미널역 1번,3110929,WORKING,18299.0
397,광진정보도서관,3110180,WORKING,18269.0
398,석촌고분역 3번,3111008,RESIDENT,18260.0
399,난우중학교,3110866,RESIDENT,18256.0
400,금산초등학교(금천고등학교),3110749,RESIDENT,18248.0
401,우사단길,3110093,RESIDENT,18236.0
402,동교초등학교,3110541,RESIDENT,18216.0
403,아차산역 1번,3110174,RESIDENT,18212.0
404,홍대입구역(홍대),3120103,RESIDENT,18184.0
405,남천초등학교,3111044,RESIDENT,18128.0
406,남영역 1번,3110068,RESIDENT,18120.0
407,미아역 5번,3110365,RESIDENT,18120.0
408,신당역 3번,3110056,RESIDENT,18048.0
409,방이역 1번,3111032,WORKING,17979.0
410,등촌3동주민센터,3110660,WORKING,17929.0
411,공릉동 국수거리,3110429,RESIDENT,17904.0
412,방이역 2번,3111030,WORKING,17879.0
413,장안제일시장,3110252,RESIDENT,17796.0
414,수유1동주민센터,3110352,RESIDENT,17780.0
415,내방역 4번,3110916,WORKING,17778.0
416,세명컴퓨터고등학교,3110474,RESIDENT,17732.0
417,샘말어린이공원,3110391,RESIDENT,17692.0
418,성신여대운정그린캠퍼스,3110369,RESIDENT,17680.0
419,문정역 2번,3111026,RESIDENT,17660.0
420,신정역 1번,3110611,RESIDENT,17612.0
421,예일여고,3110457,RESIDENT,17564.0
422,삼선동주민센터,3110300,RESIDENT,17560.0
423,제기동역 6번,3110187,RESIDENT,17528.0
424,평창동서측,3110010,WORKING,17525.0
425,응암동우체국,3110471,RESIDENT,17504.0
426,무너미어린이공원,3110343,RESIDENT,17436.0
427,오류2동버들시장,3110690,RESIDENT,17412.0
428,장승배기역 4번,3110826,RESIDENT,17388.0
429,방현초등학교(방배119안전센터),3110913,WORKING,17387.0
430,합정역,3120101,WORKING,17355.0
431,중랑노인종합복지관,3110243,RESIDENT,17336.0
432,예술인마을,3110847,RESIDENT,17328.0
433,용두동신동아아파트,3110188,RESIDENT,17312.0
434,구의역,3120056,RESIDENT,17268.0
435,"총신대입구역(이수, 총신대)",3120156,RESIDENT,17236.0
436,배화여자대학교(박노수미술관),3110008,RESIDENT,17224.0
437,잠실나루역,3111011,WORKING,17218.0
438,"숙대입구역(남영역, 남영동)",3120042,WORKING,17202.0
439,자양한강도서관,3110151,RESIDENT,17172.0
440,G타워,3110722,RESIDENT,17172.0
441,남부터미널역 1번,3110929,RESIDENT,17152.0
442,시흥4동주민센터(서울신흥초등학교),3110750,RESIDENT,17132.0
443,불광역 7번,3110481,RESIDENT,17116.0
444,사근동살곶이상점가,3110125,RESIDENT,17036.0
445,수궁동주민센터,3110686,RESIDENT,16936.0
446,망우역 2번,3110267,RESIDENT,16928.0
447,양천향교역 7번,3110648,RESIDENT,16920.0
448,숭곡초등학교,3110316,RESIDENT,16916.0
449,신논현역 1번,3120177,RESIDENT,16904.0
450,공릉역 2번,3110433,RESIDENT,16768.0
451,잠실새내역(신천),3120225,RESIDENT,16692.0
452,천호공원(해공체육문화센터),3111057,RESIDENT,16664.0
453,숭실대입구역 1번,3110837,RESIDENT,16648.0
454,구삼강변맛길,3120059,RESIDENT,16532.0
455,미성초등학교,3110856,RESIDENT,16524.0
456,석촌역(석촌호수),3120228,RESIDENT,16448.0
457,광진정말공원,3110154,RESIDENT,16436.0
458,학동역,3120191,RESIDENT,16392.0
459,한성대입구역 3번,3110291,RESIDENT,16332.0
460,성남고등학교,3110820,RESIDENT,16320.0
461,성서초등학교,3110551,RESIDENT,16252.0
462,문정역,3120235,RESIDENT,16212.0
463,시흥초등학교(시흥1동우체국),3110743,RESIDENT,16168.0
464,굽은다리역 2번,3111075,RESIDENT,16164.0
465,길동역,3120246,WORKING,16118.0
466,"신촌역(신촌역, 신촌로터리)",3120094,RESIDENT,16108.0
467,메가박스 상봉,3110237,RESIDENT,16104.0
468,광진구청,3110155,RESIDENT,16100.0
469,방이시장,3130313,WORKING,16094.0
470,구로디지털단지역 4번,3110778,RESIDENT,16040.0
471,건대입구역(건대),3120053,RESIDENT,16008.0
472,영동초등학교,3110794,RESIDENT,15960.0
473,구산역 2번,3110466,RESIDENT,15940.0
474,포이초등학교(개포목련어린이공원),3110984,RESIDENT,15940.0
475,상봉역 7번,3110257,RESIDENT,15932.0
476,미아역 8번,3110364,RESIDENT,15900.0
477,석계역 7번,3110335,RESIDENT,15864.0
478,성동용답상가시장,3130072,RESIDENT,15860.0
479,사당역(사당),3120160,RESIDENT,15848.0
480,면목5동주민센터,3110242,RESIDENT,15840.0
481,국립정신건강센터,3110165,RESIDENT,15808.0
482,뜸부기어린이공원,3110673,RESIDENT,15792.0
483,교대입구교차로,3120172,RESIDENT,15768.0
484,연신내역 5번,3110464,RESIDENT,15736.0
485,달마을공원,3110622,RESIDENT,15716.0
486,망원역 1번,3110554,RESIDENT,15712.0
487,이태원 관광특구,3001491,RESIDENT,15696.0
488,신월1파출소,3110599,RESIDENT,15660.0
489,남부터미널역,3120175,RESIDENT,15624.0
490,천호지구대(천호동자전거거리),3111049,RESIDENT,15612.0
491,원남동사거리,3120010,WORKING,15580.0
492,수유초등학교,3110360,RESIDENT,15484.0
493,선유도역 1번,3110762,WORKING,15435.0
494,방배아이파크아파트,3110903,RESIDENT,15412.0
495,묘곡초등학교(고덕아이파크아파트),3111085,RESIDENT,15368.0
496,삼성중앙역,3120213,RESIDENT,15356.0
497,서빙고역 1번,3110083,WORKING,15301.0
498,내방역 4번,3110916,RESIDENT,15272.0
499,충정로역,3120097,WORKING,15232.0
500,구로구청,3120127,WORKING,15230.0
501,천호역,3120243,RESIDENT,15224.0
502,구로창업지원센터,3110707,WORKING,15171.0
503,장안현대홈타운1차아파트,3110230,RESIDENT,15152.0
504,장안중학교,3110251,RESIDENT,15152.0
505,광진초등학교,3110172,RESIDENT,15136.0
506,독산역 1번 출입구,3110727,RESIDENT,15136.0
507,신림역 8번,3110877,RESIDENT,15064.0
508,서대문구보건소별관,3110519,RESIDENT,15040.0
509,관악해태어린이공원,3110886,RESIDENT,15032.0
510,신월7동주민센터,3110600,RESIDENT,15008.0
511,영등포역 2번,3110792,RESIDENT,14996.0
512,마포역,3120106,RESIDENT,14980.0
513,해방촌예술마을,3110080,RESIDENT,14964.0
514,서울국제고등학교,3110020,RESIDENT,14952.0
515,신설동역,3120062,RESIDENT,14952.0
516,경향신문사,3110038,WORKING,14909.0
517,효창동주민센터,3110061,RESIDENT,14900.0
518,난우초등학교,3110863,RESIDENT,14860.0
519,사가정역 1번,3110259,RESIDENT,14796.0
520,방화초등학교,3110631,RESIDENT,14796.0
521,오금공원(오주중학교),3111035,RESIDENT,14772.0
522,오금역,3120239,RESIDENT,14696.0
523,상계2동주민센터,3110426,RESIDENT,14680.0
524,을지로4가역,3120033,WORKING,14660.0
525,보문역 5번,3110305,RESIDENT,14656.0
526,중림동,3120018,WORKING,14645.0
527,강변역(테크노마트),3120060,WORKING,14622.0
528,선정릉역 4번,3110971,RESIDENT,14592.0
529,남가좌파출소,3110502,RESIDENT,14572.0
530,서울시립대,3110210,RESIDENT,14540.0
531,성심여자고등학교,3110058,RESIDENT,14532.0
532,경춘선숲길 우측,3110438,RESIDENT,14532.0
533,강북문화예술회관,3110348,RESIDENT,14520.0
534,장지동주민센터(한림연예예술고교),3111031,RESIDENT,14428.0
535,왕십리도선동상점가,3130067,RESIDENT,14420.0
536,신중초등학교,3110926,RESIDENT,14328.0
537,도봉구보건소,3110400,RESIDENT,14292.0
538,포스코사거리,3120215,RESIDENT,14276.0
539,군자역 4번,3110162,RESIDENT,14264.0
540,평창동동측,3110016,WORKING,14260.0
